P01316903A1040|0 17|RNA polymerase II
P01194673A0652|8 11|nce
P01331516A0103|8 11|tan
P01320640A0336|8 11|lls
P01374331A0636|8 11|gen
P00676790T0000|8 11|sin
P00970320A0000|8 11|orm
P01321336A0000|8 11|nce
P00843232A0100|8 11|gro
P01267446A0210|8 11|gen
P00598012A0174|9 18|prolactin
P00239169T0000|9 17|receptor
P01339468A0272|9 16|protein
P00390932T0001|9 16|antigen
P01330077A0000|9 15|ceptor
P01265887T0001|9 15|factor
P01376319T0000|9 15|pseudo
P00993176A0066|9 15|globin
P01316903A1040|9 14|erase
P00748978T0000|9 13|axin
P01429836A1205|9 13|form
P01317376A0981|9 12|ase
P00386251A0899|9 12|tan
P00626014T0001|9 12|nit
P00117748T0000|9 12|cin
P00264240A1843|9 12|nce
P01326329A0703|9 12|ase
P01400396A1265|9 12|ter
P01408137A0974|9 12|nce
P01402647A0114|9 12|ule
P01328197A0985|9 12|din
P01374331A0636|9 12|ene
P01243628A0286|9 12|ase
P01420223T0000|9 12|nce
P00465681A0000|10 20|hemoglobin
P01284828T0001|10 18|sminogen
P00239169T0000|10 17|eceptor
P01339468A0272|10 16|rotein
P00390932T0001|10 16|ntigen
P01330077A0000|10 15|eptor
P00876722T0000|10 15|menin
P01265887T0001|10 15|actor
P00993176A0066|10 15|lobin
P01316903A1040|10 14|rase
P01316476A1428|10 14|gene
P00768220X0000|10 14|unit
P00843232A0100|10 14|ound
P00984209A0614|10 13|rin
P01057137A0192|10 13|nce
P01316476A1428|10 13|gen
P00383169A0000|10 13|tic
P01168908A0000|10 13|din
P01429836A1205|10 13|orm
P00183063A0300|10 13|nce
P00219565A0172|10 13|nce
P00877857A0763|10 13|ase
P01285358A0396|10 13|rin
P01150658A0683|10 13|nce
P00476020T0000|10 13|mis
P01082726A0248|10 13|nce
P01021091T0000|10 13|nce
P00933251T0000|10 13|nin
P00764737X0000|10 13|nce
P00846559A0000|10 13|ain
P00188387A0975|11 22|lipoprotein
P00239169T0000|11 17|ceptor
P00818380A0239|11 17|factor
P01339468A0272|11 16|otein
P00390932T0001|11 16|tigen
P01330077A0000|11 15|ptor
P01394655A0615b|11 15|vity
P01275335A0158|11 15|agen
P00871237A0601|11 15|vity
P01457695T0000b|11 15|beta
P01457695T0000a|11 15|beta
P00557559A0170|11 15|ound
P01265887T0001|11 15|ctor
P00445259T0000|11 14|tin
P01316903A1040|11 14|ase
P00352569A0000|11 14|gen
P00029953T0045|11 14|tic
P01316476A1428|11 14|ene
P01301171A0979|11 14|ase
P01206896T0001|11 14|tic
P01300914A1066|11 14|nce
P01096741X0000|11 14|gro
P00693987T0001|11 14|tic
P01459447A0484|11 14|nce
P00918556A0000|11 14|nce
P00541752A1032|11 14|ter
P01171935A0313|11 14|nce
P00768220X0000|11 14|nit
P00716366T0001|11 14|ter
P01328854T0000|11 14|F-2
P01201977T0000|11 14|eta
P00072928T0000|11 14|tin
P01116466A0185|11 14|tin
P01004298A0744|11 14|din
P01284828T0001|11 14|min
P00321261A0104|12 20|response
P01357528A0084|12 19|protein
P01284828T0001|12 18|inogen
P00358945A0225|12 18|period
P00601401A0181|12 18|globin
P00239169T0000|12 17|eptor
P01316903A1040|12 17|se II
P01457695T0000a|12 17|eta 2
P01265887T0001|12 17|tor V
P00818380A0239|12 17|actor
P01457695T0000b|12 17|eta 2
P01339468A0272|12 16|tein
P00664320T0000|12 16|ctor
P00390932T0001|12 16|igen
P01330077A0000|12 15|tor
P01460054A0478|12 15|SBP
P01457695T0000a|12 15|eta
P01275335A0158|12 15|gen
P01457695T0000b|12 15|eta
P00555583T0000|12 15|tic
P00740409A0000|12 15|mis
P01433524A0788|12 15|ain
P00495097A0663|12 15|ter
P00876722T0000|12 15|nin
P00970320A0000|12 15|nce
P00136175A1137|12 15|nce
P01241866A0682|12 15|ase
P01265887T0001|12 15|tor
P01248124A0281|12 15|ter
P00728718T0000|12 15|ase
P00644314T0000|13 24|sensitivity
P00616575A0000|13 24|sensitivity
P01317376A0981|13 21|activity
P00911590T0000|13 21|response
P01357528A0084|13 19|rotein
P00637637T0000|13 19|factor
P00601401A0181|13 18|lobin
P00239169T0000|13 17|ptor
P01457695T0000b|13 17|ta 2
P00818380A0239|13 17|ctor
P01236224T0001|13 17|olog
P01457695T0000a|13 17|ta 2
P01469042A0355|13 17|gene
P01334493A0289|13 17|form
P01316903A1040|13 16|e I
P01339468A0272|13 16|ein
P01316900A0000|13 16|nce
P01433391A0594|13 16|nce
P01282638A0934|13 16|tic
P00713525A0268|13 16|ase
P00056837A0000|13 16|tin
P01358880A0251|13 16|min
P00509703A0581|13 16|nce
P01460054A0968|13 16|SBP
P00342623A0228|13 16|cin
P01469042A0355|13 16|gen
P00837262A0000|13 16|ene
P00450760T0001|13 16|mia
P00390932T0001|13 16|gen
P00664320T0000|13 16|tor
P00227393T0000|14 49|25-hydroxyvitamin D3-24-hydroxylase
P00222827A0000|14 25|sensitivity
P00644314T0000|14 24|ensitivity
P00986925A0002|14 24|calcitonin
P00088391A0181|14 24|and factor
P00616575A0000|14 24|ensitivity
P00188387A0975|14 22|oprotein
P01310899A0339|14 22|receptor
P00465681A0000|14 20|globin
P01394200A0592|14 19|group
P00637637T0000|14 19|actor
P01287197A0761|14 19|group
P01348504A0757|14 19|alpha
P01357528A0084|14 19|otein
P00598012A0174|14 18|ctin
P00406585T0001|14 18|olog
P00012653T0045|14 18|agen
P01448932T0000|14 17|tor
P01107226A0808|14 17|ter
P00716366T0001|14 17|min
P00499588T0000|14 17|eta
P01398074A0697|14 17|nce
P00015731A0090|14 17|min
P01168607A0672|14 17|min
P01394200A0592|14 17|gro
P01443745T0000|14 17|ter
P01236224T0001|14 17|log
P01469042A0355|14 17|ene
P01404401A0740|14 17|ase
P00541752A1032|14 17|min
P00239169T0000|14 17|tor
P00909114A0000|14 17|min
P01012640T0001|14 17|ter
P01287197A0761|14 17|gro
P01334493A0289|14 17|orm
P01253191T0000|14 17|pha
P00681571T0028|14 17|din
P00818380A0239|14 17|tor
P00201881A0487|14 17|din
P00725336T0000|14 17|ase
P00118810T0001|14 17|ase
P01310935T0000|14 16|D1
P00528144T0000|15 26|transferrin
P00222827A0000|15 25|ensitivity
P00188387A0975|15 22|protein
P01310899A0339|15 22|eceptor
P01340470A0000|15 22|protein
P01280413T0001|15 22|taining
P00465681A0000|15 20|lobin
P01083375T0000|15 19|psin
P01099693T0000|15 19|tive
P01348504A0757|15 19|lpha
P00637637T0000|15 19|ctor
P01386897A0000|15 19|cell
P01357528A0084|15 19|tein
P01452037A0000|15 19|gene
P01376319T0000|15 19|gene
P01284828T0001|15 18|gen
P01376319T0000|15 18|gen
P01421390T0000|15 18|ial
P01331086T0000|15 18|ter
P00030183T0000|15 18|ase
P00759400T0000|15 18|nin
P00012653T0045|15 18|gen
P01383690A1023|15 18|ain
P01452037A0000|15 18|gen
P01420363T0000|15 18|AP1
P01406630A0965|15 18|p50
P01298173A0153|15 18|tor
P00086313A0000|15 18|ain
P00598012A0174|15 18|tin
P01310879A0000|15 18|rin
P00406585T0001|15 18|log
P01436261A0145|15 18|min
P00762763A0253|15 18|ide
P01316903A1040|15 17|II
P00030937A0119|16 36|alkaline phosphatase
P00001606T0076|16 36|alkaline phosphatase
P01400401A0065|16 29|AMP deaminase
P01337142A2043|16 28|glycoprotein
P00088391A0181|16 24|d factor
P01064124A0560|16 23|surface
P00188387A0975|16 22|rotein
P01340470A0000|16 22|rotein
P01310899A0339|16 22|ceptor
P00234206T0000|16 21|group
P01330077A0000|16 20|beta
P01350780A0184|16 19|nce
P01309910A0428|16 19|nce
P00168431T0000|16 19|ide
P01357528A0084|16 19|ein
P01348504A0757|16 19|pha
P01376319T0000|16 19|ene
P01249198A1097|16 19|nce
P00637637T0000|16 19|tor
P00755245A0000|16 19|min
P00234206T0000|16 19|gro
P01083375T0000|16 19|sin
P00150066A0100|16 19|rin
P01280413T0001|16 19|ain
P01452037A0000|16 19|ene
P01431809T0000|16 19|nce
P00205074A0000|16 19|pha
P00397806T0039|16 19|ase
P00100540T0000|16 19|nce
P01253191T0000|16 19|ase
P01316903A1040|16 18|IA
P01337142A2043|17 28|lycoprotein
P00985279A0493|17 27|hemoglobin
P01429768T0000|17 25|response
P01333035T0000|17 25|receptor
P00644314T0000|17 24|itivity
P00780639X0000|17 24|antigen
P01276105A0313|17 24|insulin
P00616575A0000|17 24|itivity
P00150066A0100|17 23|inogen
P01064124A0560|17 23|urface
P00188387A0975|17 22|otein
P01310899A0339|17 22|eptor
P01340470A0000|17 22|otein
P01429836A1205|17 22|Vps1p
P01317376A0981|17 21|vity
P00722652A0118|17 21|gene
P00891370A0000|17 21|rter
P00445259T0000|17 20|nce
P00767161A0837|17 20|ase
P01332964A0247|17 20|ter
P01309894A0807|17 20|p68
P00722652A0118|17 20|gen
P01012904A0333|17 20|ter
P00938594A0149|17 20|ter
P01386897A0000|17 20|lls
P01330077A0000|17 20|eta
P01265887T0001|17 20|III
P00516545T0001|17 20|ter
P00473229T0000|17 20|ene
P00495097A0663|17 20|tic
P01265887T0001|17 19|II
P01448806A0135|18 32|growth hormone
P01374398A0951|18 31|ation protein
P01337142A2043|18 28|ycoprotein
P00618078A0367|18 26|lysozyme
P00052597T0000|18 25|lobulin
P00222827A0000|18 25|itivity
P01333035T0000|18 25|eceptor
P00088391A0181|18 24|factor
P00780639X0000|18 24|ntigen
P01276105A0313|18 24|nsulin
P00755869A0216|18 22|ctin
P01340470A0000|18 22|tein
P01310899A0339|18 22|ptor
P01314457T0000|18 22|tide
P01398074A1081|18 22|gene
P01406703A1435|18 22|cell
P00188387A0975|18 22|tein
P01398074A1081|18 21|gen
P01176905A0094|18 21|nin
P00722652A0118|18 21|ene
P01448806A0135|18 21|gro
P00762763A0253|18 21|nce
P00874942T0000|18 21|nit
P00465829T0000|18 21|log
P01309860A0559|18 21|nce
P01420363A0818|18 21|AP1
P01438287T0000|18 21|cin
P00959656A0250|18 21|ter
P01050400T0000|18 21|sin
P01454518A0336|18 21|fic
P00891370A0000|18 21|ter
P01280413T0001|18 21|nin
P00832096T0000|18 21|eta
P00210220X0000|18 21|mis
P01107226A0808|18 21|cin
P01309593A0095|18 21|nce
P01374398A0951|19 31|tion protein
P01284828T0001|19 28|activator
P01337142A2043|19 28|coprotein
P00221725A0523|19 27|activity
P01328681A0149|19 26|protein
P00056901A0308|19 26|albumin
P01333035T0000|19 25|ceptor
P00974901A0080|19 25|ophage
P00771729X0000|19 25|system
P00088391A0181|19 24|actor
P01470243A0871|19 24|group
P00780639X0000|19 24|tigen
P01454518A0336|19 23|ican
P01377818A0468|19 23|beta
P01064124A0560|19 23|face
P01398074A1081|19 22|ene
P00494659A0391|19 22|eta
P01340470A0000|19 22|ein
P00866577A0579|19 22|rin
P01314457T0000|19 22|ide
P01009739T0001|19 22|cin
P00188387A0975|19 22|ein
P01310899A0339|19 22|tor
P01441120T0000|19 22|min
P01262596T0000|19 22|mis
P01470243A0871|19 22|gro
P00872442T0000|19 22|nin
P01012640T0001|19 22|tic
P00432615A0541|19 22|nce
P01428490A0671|19 22|nce
P01371413A0742|19 22|CSF
P01247475A0000|20 34|retinoblastoma
P01158512T0000|20 33|dehydrogenase
P00027739T0000|20 31|transferase
P01337142A2043|20 28|oprotein
P00812183T0000|20 26|factor
P01256410T0001|20 26|factor
P01328681A0149|20 26|rotein
P01333035T0000|20 25|eptor
P01398104A0834|20 25|CBF-A
P00644314T0000|20 24|vity
P01457380A0000|20 24|gene
P00616575A0000|20 24|vity
P00122718A0500|20 24|unit
P00088391A0181|20 24|ctor
P00780639X0000|20 24|igen
P01454518A0336|20 23|can
P01447189T0000|20 23|nin
P01313894A1179|20 23|ter
P01457380A0000|20 23|gen
P01377818A0468|20 23|eta
P01148868A0284|20 23|nce
P00150066A0100|20 23|gen
P00974901A0080|20 23|pha
P01159822A0353|20 23|lia
P00027739T0000|21 31|ransferase
P01374398A0951|21 31|on protein
P00331128A0000|21 31|calcitonin
P01265887T0001|21 30|inhibitor
P01337142A2043|21 28|protein
P00985279A0493|21 27|globin
P01418272A1072|21 27|cutoff
P00812183T0000|21 26|actor
P01256410T0001|21 26|actor
P00089778A0000|21 26|alpha
P01328681A0149|21 26|otein
P01333035T0000|21 25|ptor
P01237206A0199|21 25|agen
P01316903A0296|21 25|form
P01383695A0100|21 25|cell
P00222827A0000|21 25|vity
P01332589A0666|21 25|ound
P00205074A0000|21 24|mia
P01457380A0000|21 24|ene
P00330364A0132|21 24|ain
P01418272A1072|21 24|cut
P00986925A0002|21 24|nin
P00088391A0181|21 24|tor
P01101272T0000|21 24|cin
P00622556A0111|21 24|oll
P00122718A0500|21 24|nit
P01193770T0000|21 24|ter
P01067493A0119|21 24|ter
P00780639X0000|21 24|gen
P00640584A0250|21 24|rin
P00755671A0485|21 24|rin
P00729003A1182|22 32|transcript
P00027739T0000|22 31|ansferase
P01374398A0951|22 31|n protein
P01265887T0001|22 30|nhibitor
P01464329T0000|22 29|protein
P01337142A2043|22 28|rotein
P01358190A0654|22 28|1 beta
P01101272T0000|22 28|inogen
P00304806A0760|22 27|alpha
P00619305A0759|22 27|group
P01282014A0275|22 27|DSP-4
P01464606A0344|22 27|alpha
P00985279A0493|22 27|lobin
P00812183T0000|22 26|ctor
P01328681A0149|22 26|tein
P01284595A0102|22 26|gene
P00089778A0000|22 26|lpha
P00618078A0367|22 26|zyme
P01256410T0001|22 26|ctor
P01172917T0000|22 25|nce
P01333035T0000|22 25|tor
P00659962T0000|22 25|fla
P01316903A0296|22 25|orm
P01237206A0199|22 25|gen
P00029953T0045|22 25|ase
P01272816A0000|22 25|eta
P01410071T0000|22 25|nin
P01429836A0457|22 25|ule
P00619305A0759|22 25|gro
P01454518A0336|22 25|nce
P01247475A0000|22 25|tin
P01284595A0102|22 25|gen
P00516545T0001|22 25|tic
P00703350A0418|22 25|oll
P00574956A0304|22 25|ter
P00054900A0226|22 25|ain
P00621626T0000|22 25|lia
P01404401A0740|22 25|ter
P00930947A0629|22 25|ter
P01363166T0001|23 31|receptor
P01265887T0001|23 30|hibitor
P01328884T0000|23 30|peptide
P00234264A0164|23 29|tidase
P00033873T0001|23 29|tidase
P01464329T0000|23 29|rotein
P01400401A0065|23 29|minase
P00060529A0695|23 28|group
P01426635A0496|23 28|ZFH-2
P01337142A2043|23 28|otein
P01340470A0000|23 27|gene
P00304806A0760|23 27|lpha
P01329039A0951|23 27|gene
P01464606A0344|23 27|lpha
P00232456T0000|23 27|gene
P00221725A0523|23 27|vity
P00465681A0000|23 26|nce
P00089778A0000|23 26|pha
P01329039A0951|23 26|gen
P00812183T0000|23 26|tor
P01256410T0001|23 26|tor
P00920381T0000|23 26|gen
P01400401A0065|23 26|min
P01347476T0000|23 26|nit
P01284595A0102|23 26|ene
P00060529A0695|23 26|gro
P00056901A0308|23 26|min
P01328681A0149|23 26|ein
P00956364A0138|23 26|tan
P00232456T0000|23 26|gen
P01340470A0000|23 26|gen
P01083321X0000|23 26|min
P00528144T0000|23 26|rin
P00866577A0579|24 35|plasminogen
P01333035T0000|24 33|r protein
P01457695T0000a|24 31|lobulin
P00866577A0579|24 31|plasmin
P01363166T0001|24 31|eceptor
P01457695T0000b|24 31|lobulin
P01373374A0735|24 31|protein
P01374398A0951|24 31|protein
P01328884T0000|24 30|eptide
P01432453T0000|24 30|system
P01400401A0065|24 29|inase
P01464329T0000|24 29|otein
P00703350A0418|24 28|loid
P01418542A0000|24 28|beta
P01371413A0742|24 28|gene
P00622556A0111|24 28|agen
P01337142A2043|24 28|tein
P01358190A0654|24 28|beta
P01348504A0757|24 27|ase
P01456888A0074|24 27|tic
P00225352T0000|24 27|ter
P01093055T0000|24 27|eta
P01371413A0742|24 27|gen
P01357190A0726|24 27|tan
P00304806A0760|24 27|pha
P01464606A0344|24 27|pha
P00378735A0000|24 27|ial
P01340470A0000|24 27|ene
P01116254A0000|24 27|min
P00139624A0318|24 27|min
P01156814T0000|24 27|rin
P00232456T0000|24 27|ene
P01329039A0951|24 27|ene
P01012904A0333|24 27|nce
P01113908A0475|24 27|ase
P01331060A0768|24 27|cin
P00030937A0119|25 36|phosphatase
P00001606T0076|25 36|phosphatase
P00589073A0000|25 34|prolactin
P01215067A0000|25 34|esistance
P01447189A1546|25 34|RNK-Met-1
P01276105A0313|25 33|response
P01448806A0135|25 32|hormone
P01374398A0951|25 31|rotein
P01373374A0735|25 31|rotein
P01363166T0001|25 31|ceptor
P01328884T0000|25 30|ptide
P00557559A0170|25 30|alpha
P00385457A0187|25 30|epsin
P01400401A0065|25 29|nase
P01388160A1102|25 29|beta
P01396583A0204|25 29|cell
P01464329T0000|25 29|tein
P01284828T0001|25 28|tor
P00622556A0111|25 28|gen
P01371413A0742|25 28|ene
P01092248T0000|25 28|fic
P01313846A0850|25 28|nce
P01101272T0000|25 28|gen
P00617815A0215|25 28|nce
P01337142A2043|25 28|ein
P01358190A0654|25 28|eta
P01301171A0979|25 28|nce
P00580106T0000|25 28|ase
P01471602A0362|25 28|ene
P00117748T0000|25 28|cin
P01316476A0842|25 28|nce
P01241866A0682|25 28|yte
P01156631A0658|25 28|nce
P01050144A0297|25 28|ase
P01418542A0000|25 28|eta
P01377696A0000|26 46|surface glycoprotein
P00716366T0001|26 46|alkaline phosphatase
P01363166T0001|26 42|eptor antagonist
P00261981A0434|26 37|somatomedin
P00029953T0045|26 34|activity
P01215067A0000|26 34|sistance
P01333035T0000|26 33|protein
P01377696A0000|26 33|surface
P00027739T0000|26 31|erase
P01363166T0001|26 31|eptor
P01373374A0735|26 31|otein
P01374398A0951|26 31|otein
P01438287T0000|26 30|ctor
P00385457A0187|26 30|psin
P01330077A0000|26 30|beta
P01296815A0059|26 30|gene
P00557559A0170|26 30|lpha
P01328884T0000|26 30|tide
P00234264A0164|26 29|ase
P01190120A0832|26 29|nin
P00033873T0001|26 29|ase
P01400401A0065|26 29|ase
P01375224A0152|26 29|ide
P01309593A1092|26 29|RBP
P00941050T0000|26 29|ain
P00627202T0000|26 29|pha
P01388160A1102|26 29|eta
P01473207A0582|26 29|din
P01464329T0000|26 29|ein
P01448806A0135|26 29|orm
P01334518T0000|26 29|nin
P00473229T0000|26 29|ide
P01296815A0059|26 29|gen
P00117748T0000|27 39|n resistance
P00453780A0430|27 35|response
P00866577A0579|27 35|sminogen
P00618078A0367|27 35|activity
P01000378T0000|27 35|glucagon
P01295373A0651|27 35|response
P01358190A0654|27 34|a chain
P01215067A0000|27 34|istance
P01333035T0000|27 33|rotein
P01377696A0000|27 33|urface
P01158512T0000|27 33|genase
P01374392A0341|27 32|NHE-3
P00027739T0000|27 31|rase
P01363166T0001|27 31|ptor
P01373374A0735|27 31|tein
P01374398A0951|27 31|tein
P01325221A0870|27 31|cell
P00929418T0001|27 30|ase
P01296815A0059|27 30|ene
P01083321X0000|27 30|nce
P01259027A0416|27 30|ide
P00385457A0187|27 30|sin
P00557559A0170|27 30|pha
P01396583A0204|27 30|lls
P00061478T0000|27 30|ter
P01158512T0000|27 30|gen
P01328884T0000|27 30|ide
P01211754A0192|27 30|ase
P00722298A0619|27 30|nce
P01333053A0110|27 30|ter
P01157614T0000|27 30|nce
P01330077A0000|27 30|eta
P00073344A0367|27 30|gen
P01438287T0000|27 30|tor
P01333047A0404|28 41|growth factor
P01329039A0951|28 36|activity
P00481612A1121|28 36|receptor
P00088391A0181|28 36|activity
P00506649T0000|28 35|protein
P01333035T0000|28 33|otein
P01158512T0000|28 33|enase
P00614915T0001|28 32|olog
P01449183A0795|28 32|beta
P00027739T0000|28 31|ase
P01333047A0404|28 31|gro
P00331128A0000|28 31|nin
P00294502T0001|28 31|nin
P01281472T0000|28 31|gen
P01314457T0000|28 31|nce
P01396601A0986|28 31|ain
P00635143T0001|28 31|eta
P01433391A0594|28 31|rin
P00811852T0001|28 31|sin
P01363166T0001|28 31|tor
P01358880A0251|28 31|nce
P01373374A0735|28 31|ein
P00866577A0579|28 31|min
P00227393T0000|28 31|min
P01374398A0951|28 31|ein
P01316903A0296|29 43|RNA polymerase
P01333047A0404|29 41|rowth factor
P01275541A0405|29 37|activity
P00913623A0242|29 37|molecule
P00219565A0172|29 36|antigen
P00481612A1121|29 36|eceptor
P01380454A0451|29 36|protein
P01316461A1083|29 36|protein
P00506649T0000|29 35|rotein
P00222102A0227|29 35|pseudo
P00866577A0579|29 35|inogen
P01337142A2043|29 34|alpha
P01358190A0654|29 34|chain
P01215067A0000|29 34|tance
P01333035T0000|29 33|tein
P01318310A0000|29 33|cell
P01158512T0000|29 33|nase
P01377696A0000|29 33|face
P01398140A0488|29 33|gene
P00416758T0001|29 32|ain
P01392012A0228|29 32|sin
P00465223A0373|29 32|nce
P01325221A0870|29 32|lls
P00473249T0000|29 32|min
P00715180T0074|29 32|ter
P00001606T0076|29 32|pha
P01331060A0768|29 32|rin
P00614915T0001|29 32|log
P00890028A0507|29 32|ule
P01331057A0000|29 32|COX
P00681571T0028|29 32|ide
P01215067A0000|29 32|tan
P01398140A0488|29 32|gen
P00361059T0000|29 32|fic
P01375224A0152|29 32|nce
P01449183A0795|29 32|eta
P00970488A0105|29 32|ase
P00485615A0935|29 32|nce
P00030937A0119|29 32|pha
P01332964A0247|29 31|II
P01353478T0000|29 31|IA
P01452037A0000|30 70|glyceraldehyde-3-phosphate dehydrogenase
P01377696A0000|30 46|ace glycoprotein
P00117748T0000|30 39|esistance
P00234264A0164|30 38|activity
P01256410T0001|30 38|molecule
P00918556A0000|30 37|surface
P01358758A0000|30 37|insulin
P00232354A0286|30 37|insulin
P00913623A0242|30 37|olecule
P00219565A0172|30 36|ntigen
P00481612A1121|30 36|ceptor
P01380454A0451|30 36|rotein
P01316461A1083|30 36|rotein
P00506649T0000|30 35|otein
P00066874T0000|30 35|alpha
P01331292A1425|30 35|tance
P01337142A2043|30 34|lpha
P00029953T0045|30 34|vity
